希望	0
不要	1
再有	2
了	3
早日康复	4
回家	5
过年	6
🙏	7
快	8
大家	9
都	10
能	11
平平安安	12
健健康康	13
愿	14
平安	15
今天	16
是	17
翻	18
好久好久	19
特别	20
回来	21
看	22
事件	23
的	24
开始	25
爪巴	26
好	27
疼	28
呢	29
关	30
我	31
屁事	32
啊	33
怎么办	34
可	35
防	36
可控	37
特意	38
倒	39
肺炎	40
这	41
事情	42
真是	43
气死我了	44
现在	45
号	46
感染	47
死亡	48
多人	49
患者	50
一天天	51
多	52
无语	53
吐槽	54
加油	55
一定	56
会	57
脸疼	58
吗	59
合理的	60
质疑	61
被	62
说	63
成	64
造谣	65
哈哈	66
谢谢	67
关心	68
呀	69
还	70
在	71
继续	72
治疗	73
前	74
几天	75
检测	76
一次	77
弱阳性	78
应该	79
慢慢	80
啦	81
太好了	82
下面	83
评论	84
讽刺	85
国内	86
没报	87
什么	88
不你们	89
点亮	90
全球	91
呵呵	92
你	93
脸	94
不疼	95
厉害	96
叔叔	97
康复	98
阿姨	99
么	100
对	101
愚蠢	102
回头	103
看看	104
的话	105
吧	106
去	107
当	108
领导	109
就	110
不会	111
轮	112
到	113
这个	114
下场	115
就是	116
这种	117
人太多	118
才	119
会演	120
变成	121
这样	122
你们	123
防疫	124
部门	125
真牛	126
看来	127
高估	128
感觉	129
好玩	130
通报	131
看起来	132
打	133
谁	134
中奖	135
中	136
大大	137
大奖	138
中大奖	139
可以	140
理解	141
并	142
不是	143
所有人	144
懂得	145
流行病学	146
已经	147
确诊	148
例	149
诸位	150
做	151
跟风	152
狗	153
滋味	154
怎么样	155
想	156
人	157
打脸	158
过	159
这么	160
多天	161
事实如此	162
哪怕	163
回到	164
这天	165
也好	166
算了	167
聪明人	168
你好	169
再	170
细思极	171
恐	172
没有	173
对得起	174
唉	175
😔	176
之前	177
新闻	178
复制	179
几个	180
问号	181
表达	182
意思	183
有	184
问题	185
时候	186
内地	187
早就	188
发布	189
声明	190
进行	191
控制	192
即便	193
发出	194
传人	195
消息	196
还是	197
大批	198
出发	199
各地	200
春运	201
之后	202
各个	203
省	204
发现	205
病例	206
哪里	207
逻辑	208
不通	209
好好	210
想想	211
再说	212
爆发	213
政府	214
救	215
不了	216
自私的	217
回乡	218
逃出	219
武汉	220
群众	221
们	222
隐瞒	223
弟弟	224
传	225
全国	226
不用	227
考察	228
自己	229
可笑	230
不	231
🐴	232
嗯	233
不严重	234
待	235
着	236
别	237
出来	238
害人	239
就行	240
哦	241
也	242
出不来	243
哈哈哈哈	244
最	245
有名的	246
莆田	247
系	248
医院	249
辣鸡	250
危害	251
社会	252
小	253
粉红	254
疑问	255
问得	256
真的	257
瞒报	258
与	259
不瞒报	260
和	261
封城	262
联系	263
思维	264
真	265
跳脱	266
为了	267
不进一步	268
扩散	269
怎么	270
证明	271
怕	272
个	273
弱智	274
大	275
傻	276
缺	277
首页	278
病毒	279
跨省	280
干嘛	281
阴阳怪气	282
那不就	283
嘿	284
脑残	285
以后	286
长点	287
脑子	288
多读	289
点书	290
知道	291
缺多大	292
一根	293
筋	294
封	295
人民	296
没电影	297
没庙会	298
逛	299
电视	300
球赛	301
要	302
暂停	303
傻子	304
洗	305
地	306
拖把	307
精	308
抽肿	309
典型	310
各种	311
措施	312
滞后	313
键盘	314
侠到	315
没瞒报	316
报	317
这特	318
制造	319
恐慌	320
传播	321
广了	322
难道	323
现实	324
为什么	325
用	326
别上	327
嘴唇	328
碰	329
下	330
说话	331
不腰疼	332
害怕	333
但是	334
大部分	335
不怕	336
不在意	337
没文化	338
更	339
没智商	340
不像	341
又	342
文化	343
力气	344
所以	345
呗	346
那	347
何必	348
这里	349
指点江山	350
支援	351
医生	352
不好	353
借用	354
一句	355
话	356
暴露	357
智商	358
追星	359
懂	360
比	361
专家	362
不去	363
第一线	364
这装	365
明白	366
潜伏期	367
天	368
不知道	369
别多	370
举报	371
有用吗	372
情况	373
是不是	374
姐姐	375
这话	376
合适	377
敲	378
疫情	379
来	380
凶猛	381
骂	382
有病	383
先封城	384
祸害	385
更多人	386
第一	387
时间	388
住	389
这条	390
觉得	391
病毒感染	392
已高达	393
如果	394
早	395
报道	396
预防	397
让	398
市民	399
提高警惕	400
一点	401
戴	402
口罩	403
当初	404
太好	405
痊愈	406
出院	407
从	408
昨天	409
起	410
干咳	411
咋办	412
慌	413
我要	414
好转	415
浙江	416
上海	417
那么	418
我妈	419
中心医院	420
病	421
没得	422
药治	423
靠	424
自身	425
免疫力	426
抵抗力	427
直接	428
挂	429
死了	430
个人	431
瞒	432
没让	433
公布	434
严重	435
